Timestamp,Name,CPU,Memory
2024-11-06 12:31:03,minikube,12.81%,59.86%
2024-11-06 12:31:03,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:31:03,me-blog-1,0.01%,14.45%
2024-11-06 12:31:15,minikube,13.61%,59.89%
2024-11-06 12:31:15,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:31:15,me-blog-1,0.00%,14.45%
2024-11-06 12:31:27,minikube,13.99%,59.87%
2024-11-06 12:31:27,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:31:27,me-blog-1,0.01%,14.45%
2024-11-06 12:31:39,minikube,7.95%,59.86%
2024-11-06 12:31:39,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:31:39,me-blog-1,0.00%,14.45%
2024-11-06 12:31:51,minikube,18.22%,59.92%
2024-11-06 12:31:51,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:31:51,me-blog-1,0.01%,14.45%
2024-11-06 12:32:04,minikube,16.40%,59.84%
2024-11-06 12:32:04,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:32:04,me-blog-1,0.00%,14.45%
2024-11-06 12:32:16,minikube,10.37%,59.82%
2024-11-06 12:32:16,me-load_balancer-1,0.17%,0.83%
2024-11-06 12:32:16,me-blog-1,0.01%,14.45%
2024-11-06 12:32:29,minikube,9.55%,59.83%
2024-11-06 12:32:29,me-load_balancer-1,0.22%,0.83%
2024-11-06 12:32:29,me-blog-1,0.00%,14.45%
2024-11-06 12:32:42,minikube,16.17%,59.90%
2024-11-06 12:32:42,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:32:42,me-blog-1,0.01%,14.45%
2024-11-06 12:32:54,minikube,19.68%,59.88%
2024-11-06 12:32:54,me-load_balancer-1,0.16%,0.83%
2024-11-06 12:32:54,me-blog-1,0.00%,14.45%
2024-11-06 12:33:07,minikube,12.63%,59.94%
2024-11-06 12:33:07,me-load_balancer-1,0.19%,0.83%
2024-11-06 12:33:07,me-blog-1,0.00%,14.45%
2024-11-06 12:33:19,minikube,8.04%,59.93%
2024-11-06 12:33:19,me-load_balancer-1,0.15%,0.83%
2024-11-06 12:33:19,me-blog-1,0.00%,14.45%
2024-11-06 12:33:32,minikube,17.16%,59.91%
2024-11-06 12:33:32,me-load_balancer-1,0.18%,0.83%
2024-11-06 12:33:32,me-blog-1,0.01%,14.45%
2024-11-06 12:33:44,minikube,12.15%,60.08%
2024-11-06 12:33:44,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:33:44,me-blog-1,0.00%,14.45%
2024-11-06 12:33:57,minikube,9.92%,59.97%
2024-11-06 12:33:57,me-load_balancer-1,0.20%,0.83%
2024-11-06 12:33:57,me-blog-1,0.00%,14.45%
2024-11-06 12:34:09,minikube,9.86%,60.05%
2024-11-06 12:34:09,me-load_balancer-1,0.11%,0.83%
2024-11-06 12:34:09,me-blog-1,0.00%,14.45%
2024-11-06 12:34:22,minikube,20.86%,59.91%
2024-11-06 12:34:22,me-load_balancer-1,0.34%,0.83%
2024-11-06 12:34:22,me-blog-1,0.00%,14.41%
2024-11-06 12:34:34,minikube,14.23%,59.93%
2024-11-06 12:34:34,me-load_balancer-1,0.11%,0.83%
2024-11-06 12:34:34,me-blog-1,0.00%,14.41%
2024-11-06 12:34:47,minikube,9.11%,59.97%
2024-11-06 12:34:47,me-load_balancer-1,0.22%,0.83%
2024-11-06 12:34:47,me-blog-1,0.01%,14.41%
2024-11-06 12:34:59,minikube,9.98%,59.95%
2024-11-06 12:34:59,me-load_balancer-1,0.17%,0.83%
2024-11-06 12:34:59,me-blog-1,0.00%,14.41%
2024-11-06 12:35:11,minikube,13.48%,59.92%
2024-11-06 12:35:11,me-load_balancer-1,0.24%,0.83%
2024-11-06 12:35:11,me-blog-1,0.00%,14.37%
2024-11-06 12:35:24,minikube,7.31%,59.91%
2024-11-06 12:35:24,me-load_balancer-1,0.12%,0.83%
2024-11-06 12:35:24,me-blog-1,0.00%,14.59%
2024-11-06 12:35:36,minikube,12.27%,59.76%
2024-11-06 12:35:36,me-load_balancer-1,0.18%,0.83%
2024-11-06 12:35:36,me-blog-1,0.00%,14.56%
2024-11-06 12:35:49,minikube,8.53%,59.75%
2024-11-06 12:35:49,me-load_balancer-1,0.11%,0.83%
2024-11-06 12:35:49,me-blog-1,0.00%,14.56%
2024-11-06 12:36:01,minikube,13.80%,59.79%
2024-11-06 12:36:01,me-load_balancer-1,0.16%,0.83%
2024-11-06 12:36:01,me-blog-1,0.00%,14.55%
2024-11-06 12:36:14,minikube,11.16%,59.91%
2024-11-06 12:36:14,me-load_balancer-1,0.11%,0.83%
2024-11-06 12:36:14,me-blog-1,0.00%,14.55%
2024-11-06 12:36:26,minikube,11.31%,59.85%
2024-11-06 12:36:26,me-load_balancer-1,0.22%,0.83%
2024-11-06 12:36:26,me-blog-1,0.00%,14.55%
2024-11-06 12:36:39,minikube,9.46%,59.87%
2024-11-06 12:36:39,me-load_balancer-1,0.12%,0.83%
2024-11-06 12:36:39,me-blog-1,0.00%,14.55%
2024-11-06 12:36:51,minikube,12.18%,59.85%
2024-11-06 12:36:51,me-load_balancer-1,0.17%,0.83%
2024-11-06 12:36:51,me-blog-1,0.00%,14.55%
2024-11-06 12:37:04,minikube,25.28%,59.83%
2024-11-06 12:37:04,me-load_balancer-1,0.12%,0.83%
2024-11-06 12:37:04,me-blog-1,0.00%,14.55%
2024-11-06 12:37:16,minikube,12.10%,59.77%
2024-11-06 12:37:16,me-load_balancer-1,0.42%,0.83%
2024-11-06 12:37:16,me-blog-1,0.00%,14.55%
2024-11-06 12:37:29,minikube,7.64%,59.76%
2024-11-06 12:37:29,me-load_balancer-1,0.16%,0.83%
2024-11-06 12:37:29,me-blog-1,0.00%,14.54%
2024-11-06 12:37:42,minikube,12.61%,59.74%
2024-11-06 12:37:42,me-load_balancer-1,0.18%,0.83%
2024-11-06 12:37:42,me-blog-1,0.00%,14.53%
2024-11-06 12:37:54,minikube,18.18%,59.72%
2024-11-06 12:37:54,me-load_balancer-1,0.23%,0.83%
2024-11-06 12:37:54,me-blog-1,0.00%,14.53%
2024-11-06 12:38:07,minikube,13.66%,59.86%
2024-11-06 12:38:07,me-load_balancer-1,0.25%,0.83%
2024-11-06 12:38:07,me-blog-1,0.00%,14.53%
2024-11-06 12:38:19,minikube,8.01%,59.90%
2024-11-06 12:38:19,me-load_balancer-1,0.10%,0.83%
2024-11-06 12:38:19,me-blog-1,0.00%,14.53%
2024-11-06 12:38:32,minikube,10.62%,59.91%
2024-11-06 12:38:32,me-load_balancer-1,0.17%,0.83%
2024-11-06 12:38:32,me-blog-1,0.01%,14.53%
2024-11-06 12:38:43,minikube,14.26%,60.06%
2024-11-06 12:38:43,me-load_balancer-1,0.19%,0.83%
2024-11-06 12:38:43,me-blog-1,0.01%,14.53%
2024-11-06 12:38:56,minikube,10.44%,59.98%
2024-11-06 12:38:56,me-load_balancer-1,0.16%,0.83%
2024-11-06 12:38:56,me-blog-1,0.00%,14.53%
2024-11-06 12:39:08,minikube,9.47%,60.09%
2024-11-06 12:39:08,me-load_balancer-1,0.18%,0.84%
2024-11-06 12:39:08,me-blog-1,0.01%,14.53%
2024-11-06 12:39:21,minikube,8.85%,60.06%
2024-11-06 12:39:21,me-load_balancer-1,0.12%,0.84%
2024-11-06 12:39:21,me-blog-1,0.00%,14.53%
2024-11-06 12:39:33,minikube,11.11%,60.07%
2024-11-06 12:39:33,me-load_balancer-1,0.18%,0.84%
2024-11-06 12:39:33,me-blog-1,0.01%,14.53%
2024-11-06 12:39:46,minikube,13.56%,59.84%
2024-11-06 12:39:46,me-load_balancer-1,0.16%,0.84%
2024-11-06 12:39:46,me-blog-1,0.00%,14.44%
2024-11-06 12:39:59,minikube,13.42%,59.81%
2024-11-06 12:39:59,me-load_balancer-1,0.30%,0.84%
2024-11-06 12:39:59,me-blog-1,0.01%,14.44%
2024-11-06 12:40:11,minikube,10.37%,59.90%
2024-11-06 12:40:11,me-load_balancer-1,0.22%,0.84%
2024-11-06 12:40:11,me-blog-1,0.01%,14.45%
2024-11-06 12:40:24,minikube,11.86%,59.84%
2024-11-06 12:40:24,me-load_balancer-1,0.19%,0.84%
2024-11-06 12:40:24,me-blog-1,0.00%,14.45%
2024-11-06 12:40:36,minikube,13.75%,59.80%
2024-11-06 12:40:36,me-load_balancer-1,0.18%,0.84%
2024-11-06 12:40:36,me-blog-1,0.00%,14.45%
