Timestamp,Name,CPU,Memory
2024-11-06 12:18:16,minikube,11.81%,60.31%
2024-11-06 12:18:16,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:18:16,me-blog-1,0.00%,14.05%
2024-11-06 12:18:28,minikube,11.89%,60.26%
2024-11-06 12:18:28,me-load_balancer-1,0.22%,0.82%
2024-11-06 12:18:28,me-blog-1,0.01%,14.05%
2024-11-06 12:18:40,minikube,18.45%,60.28%
2024-11-06 12:18:40,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:18:40,me-blog-1,0.00%,14.05%
2024-11-06 12:18:52,minikube,11.95%,60.25%
2024-11-06 12:18:52,me-load_balancer-1,0.20%,0.82%
2024-11-06 12:18:52,me-blog-1,0.00%,14.05%
2024-11-06 12:19:04,minikube,16.94%,60.28%
2024-11-06 12:19:04,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:19:04,me-blog-1,0.00%,14.05%
2024-11-06 12:19:16,minikube,11.44%,60.24%
2024-11-06 12:19:16,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:19:16,me-blog-1,0.00%,14.05%
2024-11-06 12:19:27,minikube,11.18%,60.28%
2024-11-06 12:19:27,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:19:27,me-blog-1,0.00%,14.05%
2024-11-06 12:19:39,minikube,9.35%,60.24%
2024-11-06 12:19:39,me-load_balancer-1,0.18%,0.82%
2024-11-06 12:19:39,me-blog-1,0.00%,14.05%
2024-11-06 12:19:51,minikube,12.27%,60.26%
2024-11-06 12:19:51,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:19:51,me-blog-1,0.00%,14.05%
2024-11-06 12:20:04,minikube,19.69%,60.26%
2024-11-06 12:20:04,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:20:04,me-blog-1,0.00%,14.05%
2024-11-06 12:20:16,minikube,14.23%,60.25%
2024-11-06 12:20:16,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:20:16,me-blog-1,0.00%,14.05%
2024-11-06 12:20:27,minikube,10.69%,60.18%
2024-11-06 12:20:27,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:20:27,me-blog-1,0.00%,14.05%
2024-11-06 12:20:39,minikube,10.31%,60.16%
2024-11-06 12:20:39,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:20:39,me-blog-1,0.00%,14.05%
2024-11-06 12:20:51,minikube,12.89%,60.18%
