Timestamp,Name,CPU,Memory
2024-11-06 12:09:10,me-blog-3,0.00%,56.17%
2024-11-06 12:09:10,me-blog-2,0.00%,65.02%
2024-11-06 12:09:10,minikube,7.81%,60.20%
2024-11-06 12:09:10,me-load_balancer-1,0.13%,0.84%
2024-11-06 12:09:10,me-blog-1,1.01%,98.35%
2024-11-06 12:09:22,me-blog-3,0.00%,56.17%
2024-11-06 12:09:22,me-blog-2,0.00%,65.02%
2024-11-06 12:09:22,minikube,8.87%,60.14%
2024-11-06 12:09:22,me-load_balancer-1,0.16%,0.84%
2024-11-06 12:09:22,me-blog-1,0.66%,98.20%
2024-11-06 12:09:34,me-blog-3,0.00%,56.17%
2024-11-06 12:09:34,me-blog-2,0.00%,65.02%
2024-11-06 12:09:34,minikube,18.49%,60.14%
2024-11-06 12:09:34,me-load_balancer-1,0.12%,0.84%
2024-11-06 12:09:34,me-blog-1,1.02%,98.43%
2024-11-06 12:09:46,me-blog-3,0.00%,56.17%
2024-11-06 12:09:46,me-blog-2,0.01%,65.02%
2024-11-06 12:09:46,minikube,8.52%,60.18%
2024-11-06 12:09:46,me-load_balancer-1,0.18%,0.84%
2024-11-06 12:09:46,me-blog-1,1.07%,96.68%
2024-11-06 12:09:59,minikube,8.61%,60.17%
2024-11-06 12:09:59,me-load_balancer-1,0.44%,0.84%
2024-11-06 12:09:59,me-blog-1,0.01%,14.05%
2024-11-06 12:10:12,minikube,12.33%,60.22%
2024-11-06 12:10:12,me-load_balancer-1,0.15%,0.85%
2024-11-06 12:10:12,me-blog-1,0.00%,14.05%
2024-11-06 12:10:24,minikube,9.80%,60.16%
2024-11-06 12:10:24,me-load_balancer-1,0.18%,0.85%
2024-11-06 12:10:24,me-blog-1,0.00%,14.05%
2024-11-06 12:10:36,minikube,8.25%,60.11%
2024-11-06 12:10:36,me-load_balancer-1,0.12%,0.85%
2024-11-06 12:10:36,me-blog-1,0.00%,14.05%
2024-11-06 12:10:48,minikube,7.63%,60.14%
2024-11-06 12:10:48,me-load_balancer-1,0.16%,0.85%
2024-11-06 12:10:48,me-blog-1,0.03%,14.05%
2024-11-06 12:11:00,minikube,9.41%,60.20%
2024-11-06 12:11:00,me-load_balancer-1,0.16%,0.85%
2024-11-06 12:11:00,me-blog-1,0.01%,14.05%
2024-11-06 12:11:11,minikube,9.19%,60.31%
2024-11-06 12:11:11,me-load_balancer-1,0.17%,0.85%
2024-11-06 12:11:11,me-blog-1,0.01%,14.05%
2024-11-06 12:11:24,minikube,10.68%,60.22%
2024-11-06 12:11:24,me-load_balancer-1,0.13%,0.85%
2024-11-06 12:11:24,me-blog-1,0.00%,14.05%
2024-11-06 12:11:36,minikube,9.59%,60.13%
2024-11-06 12:11:36,me-load_balancer-1,0.16%,0.85%
2024-11-06 12:11:36,me-blog-1,0.00%,14.05%
2024-11-06 12:11:47,minikube,9.05%,60.12%
2024-11-06 12:11:47,me-load_balancer-1,0.14%,0.85%
