Timestamp,Name,CPU,Memory
2024-11-06 12:23:59,minikube,11.64%,60.16%
2024-11-06 12:23:59,me-load_balancer-1,0.18%,0.82%
2024-11-06 12:23:59,me-blog-1,0.00%,14.05%
2024-11-06 12:24:11,minikube,15.49%,60.26%
2024-11-06 12:24:11,me-load_balancer-1,0.18%,0.82%
2024-11-06 12:24:11,me-blog-1,0.00%,14.05%
2024-11-06 12:24:23,minikube,10.53%,60.22%
2024-11-06 12:24:23,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:24:23,me-blog-1,0.01%,14.05%
2024-11-06 12:24:34,minikube,10.93%,60.21%
2024-11-06 12:24:34,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:24:34,me-blog-1,0.00%,14.05%
2024-11-06 12:24:46,minikube,13.63%,60.24%
2024-11-06 12:24:46,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:24:46,me-blog-1,0.00%,14.05%
2024-11-06 12:24:58,minikube,12.59%,60.25%
2024-11-06 12:24:58,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:24:58,me-blog-1,0.01%,14.05%
2024-11-06 12:25:10,minikube,15.69%,60.37%
2024-11-06 12:25:10,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:25:10,me-blog-1,0.01%,14.05%
