Timestamp,Name,CPU,Memory
2024-11-06 12:32:56,minikube,13.16%,59.88%
2024-11-06 12:32:56,me-load_balancer-1,0.20%,0.83%
2024-11-06 12:32:56,me-blog-1,0.00%,14.45%
2024-11-06 12:33:08,minikube,9.74%,59.94%
2024-11-06 12:33:08,me-load_balancer-1,0.18%,0.83%
2024-11-06 12:33:08,me-blog-1,0.00%,14.45%
2024-11-06 12:33:20,minikube,11.09%,59.91%
2024-11-06 12:33:20,me-load_balancer-1,0.10%,0.83%
2024-11-06 12:33:20,me-blog-1,0.00%,14.45%
2024-11-06 12:33:33,minikube,13.35%,59.91%
2024-11-06 12:33:33,me-load_balancer-1,0.20%,0.83%
2024-11-06 12:33:33,me-blog-1,0.01%,14.45%
2024-11-06 12:33:45,minikube,12.30%,60.09%
2024-11-06 12:33:45,me-load_balancer-1,0.12%,0.83%
2024-11-06 12:33:45,me-blog-1,0.00%,14.45%
2024-11-06 12:33:58,minikube,9.62%,59.97%
2024-11-06 12:33:58,me-load_balancer-1,0.15%,0.83%
2024-11-06 12:33:58,me-blog-1,0.00%,14.45%
2024-11-06 12:34:10,minikube,12.35%,59.99%
2024-11-06 12:34:10,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:34:10,me-blog-1,0.02%,14.45%
2024-11-06 12:34:23,minikube,9.27%,59.91%
2024-11-06 12:34:23,me-load_balancer-1,0.12%,0.83%
2024-11-06 12:34:23,me-blog-1,0.00%,14.41%
2024-11-06 12:34:35,minikube,7.67%,59.94%
2024-11-06 12:34:35,me-load_balancer-1,0.11%,0.83%
2024-11-06 12:34:35,me-blog-1,0.00%,14.41%
2024-11-06 12:34:48,minikube,7.37%,59.97%
2024-11-06 12:34:48,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:34:48,me-blog-1,0.00%,14.41%
2024-11-06 12:35:00,minikube,12.18%,59.99%
2024-11-06 12:35:00,me-load_balancer-1,0.11%,0.83%
2024-11-06 12:35:00,me-blog-1,0.00%,14.41%
2024-11-06 12:35:12,minikube,15.78%,59.95%
2024-11-06 12:35:12,me-load_balancer-1,0.18%,0.83%
2024-11-06 12:35:12,me-blog-1,0.00%,14.37%
2024-11-06 12:35:25,minikube,17.91%,59.91%
2024-11-06 12:35:25,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:35:25,me-blog-1,0.00%,14.59%
2024-11-06 12:35:37,minikube,10.43%,59.76%
2024-11-06 12:35:37,me-load_balancer-1,0.31%,0.83%
2024-11-06 12:35:37,me-blog-1,0.00%,14.56%
2024-11-06 12:35:50,minikube,9.70%,59.75%
2024-11-06 12:35:50,me-load_balancer-1,0.11%,0.83%
2024-11-06 12:35:50,me-blog-1,0.00%,14.56%
2024-11-06 12:36:02,minikube,13.18%,59.84%
2024-11-06 12:36:02,me-load_balancer-1,0.11%,0.83%
2024-11-06 12:36:02,me-blog-1,0.00%,14.55%
2024-11-06 12:36:15,minikube,15.24%,59.91%
2024-11-06 12:36:15,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:36:15,me-blog-1,0.01%,14.55%
2024-11-06 12:36:27,minikube,10.46%,59.85%
2024-11-06 12:36:27,me-load_balancer-1,0.25%,0.83%
2024-11-06 12:36:27,me-blog-1,0.00%,14.55%
2024-11-06 12:36:40,minikube,13.10%,59.84%
2024-11-06 12:36:40,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:36:40,me-blog-1,0.00%,14.55%
2024-11-06 12:36:52,minikube,17.83%,59.89%
2024-11-06 12:36:52,me-load_balancer-1,0.18%,0.83%
2024-11-06 12:36:52,me-blog-1,0.00%,14.55%
2024-11-06 12:37:05,minikube,13.75%,59.82%
2024-11-06 12:37:05,me-load_balancer-1,0.24%,0.83%
2024-11-06 12:37:05,me-blog-1,0.02%,14.55%
2024-11-06 12:37:17,minikube,10.69%,59.77%
2024-11-06 12:37:17,me-load_balancer-1,0.19%,0.83%
2024-11-06 12:37:17,me-blog-1,0.00%,14.55%
2024-11-06 12:37:30,minikube,13.81%,59.77%
2024-11-06 12:37:30,me-load_balancer-1,0.15%,0.83%
2024-11-06 12:37:30,me-blog-1,0.00%,14.54%
2024-11-06 12:37:43,minikube,22.06%,59.79%
2024-11-06 12:37:43,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:37:43,me-blog-1,0.01%,14.53%
2024-11-06 12:37:55,minikube,11.97%,59.77%
2024-11-06 12:37:55,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:37:55,me-blog-1,0.01%,14.53%
2024-11-06 12:38:08,minikube,10.31%,59.86%
2024-11-06 12:38:08,me-load_balancer-1,0.16%,0.83%
2024-11-06 12:38:08,me-blog-1,0.00%,14.53%
2024-11-06 12:38:20,minikube,13.02%,59.90%
2024-11-06 12:38:20,me-load_balancer-1,0.16%,0.83%
2024-11-06 12:38:20,me-blog-1,0.00%,14.53%
2024-11-06 12:38:33,minikube,21.33%,59.99%
2024-11-06 12:38:33,me-load_balancer-1,0.12%,0.83%
2024-11-06 12:38:33,me-blog-1,0.00%,14.53%
2024-11-06 12:38:45,minikube,13.69%,60.06%
2024-11-06 12:38:45,me-load_balancer-1,0.19%,0.83%
2024-11-06 12:38:45,me-blog-1,0.01%,14.53%
2024-11-06 12:38:58,minikube,11.14%,60.00%
2024-11-06 12:38:58,me-load_balancer-1,0.15%,0.84%
2024-11-06 12:38:58,me-blog-1,0.00%,14.53%
2024-11-06 12:39:10,minikube,14.20%,60.09%
2024-11-06 12:39:10,me-load_balancer-1,0.22%,0.84%
2024-11-06 12:39:10,me-blog-1,0.00%,14.53%
2024-11-06 12:39:23,minikube,14.24%,60.08%
2024-11-06 12:39:23,me-load_balancer-1,0.13%,0.84%
2024-11-06 12:39:23,me-blog-1,0.00%,14.53%
2024-11-06 12:39:35,minikube,14.61%,59.85%
2024-11-06 12:39:35,me-load_balancer-1,0.20%,0.84%
2024-11-06 12:39:35,me-blog-1,0.00%,14.44%
2024-11-06 12:39:48,minikube,11.77%,59.83%
2024-11-06 12:39:48,me-load_balancer-1,0.13%,0.84%
2024-11-06 12:39:48,me-blog-1,0.00%,14.44%
2024-11-06 12:40:01,minikube,11.59%,59.87%
2024-11-06 12:40:01,me-load_balancer-1,0.19%,0.84%
2024-11-06 12:40:01,me-blog-1,0.00%,14.45%
2024-11-06 12:40:13,minikube,16.68%,59.96%
2024-11-06 12:40:13,me-load_balancer-1,0.15%,0.84%
2024-11-06 12:40:13,me-blog-1,0.01%,14.45%
2024-11-06 12:40:26,minikube,10.56%,59.82%
2024-11-06 12:40:26,me-load_balancer-1,0.11%,0.84%
2024-11-06 12:40:26,me-blog-1,0.00%,14.45%
2024-11-06 12:40:38,minikube,12.55%,59.78%
2024-11-06 12:40:38,me-load_balancer-1,0.18%,0.84%
2024-11-06 12:40:38,me-blog-1,0.00%,14.45%
2024-11-06 12:40:51,minikube,11.66%,59.87%
2024-11-06 12:40:51,me-load_balancer-1,0.15%,0.84%
2024-11-06 12:40:51,me-blog-1,0.00%,14.45%
2024-11-06 12:41:03,minikube,22.18%,59.94%
2024-11-06 12:41:03,me-load_balancer-1,0.15%,0.84%
2024-11-06 12:41:03,me-blog-1,0.00%,14.45%
2024-11-06 12:41:16,minikube,11.34%,60.07%
2024-11-06 12:41:16,me-load_balancer-1,0.16%,0.84%
2024-11-06 12:41:16,me-blog-1,0.00%,14.45%
2024-11-06 12:41:28,minikube,8.62%,60.06%
