Timestamp,Name,CPU,Memory
2024-11-06 12:18:52,minikube,11.95%,60.25%
2024-11-06 12:18:52,me-load_balancer-1,0.20%,0.82%
2024-11-06 12:18:52,me-blog-1,0.00%,14.05%
2024-11-06 12:19:04,minikube,16.94%,60.28%
2024-11-06 12:19:04,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:19:04,me-blog-1,0.00%,14.05%
2024-11-06 12:19:16,minikube,11.44%,60.24%
2024-11-06 12:19:16,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:19:16,me-blog-1,0.00%,14.05%
2024-11-06 12:19:27,minikube,11.18%,60.28%
2024-11-06 12:19:27,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:19:27,me-blog-1,0.00%,14.05%
2024-11-06 12:19:39,minikube,9.35%,60.24%
2024-11-06 12:19:39,me-load_balancer-1,0.18%,0.82%
2024-11-06 12:19:39,me-blog-1,0.00%,14.05%
2024-11-06 12:19:51,minikube,12.27%,60.26%
2024-11-06 12:19:51,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:19:51,me-blog-1,0.00%,14.05%
2024-11-06 12:20:04,minikube,19.69%,60.26%
2024-11-06 12:20:04,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:20:04,me-blog-1,0.00%,14.05%
2024-11-06 12:20:16,minikube,14.23%,60.25%
2024-11-06 12:20:16,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:20:16,me-blog-1,0.00%,14.05%
2024-11-06 12:20:27,minikube,10.69%,60.18%
2024-11-06 12:20:27,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:20:27,me-blog-1,0.00%,14.05%
2024-11-06 12:20:39,minikube,10.31%,60.16%
2024-11-06 12:20:39,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:20:39,me-blog-1,0.00%,14.05%
2024-11-06 12:20:51,minikube,12.89%,60.18%
2024-11-06 12:20:51,me-load_balancer-1,0.25%,0.82%
2024-11-06 12:20:51,me-blog-1,0.00%,14.05%
2024-11-06 12:21:04,minikube,26.65%,60.19%
2024-11-06 12:21:04,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:21:04,me-blog-1,0.01%,14.05%
2024-11-06 12:21:16,minikube,10.85%,60.24%
2024-11-06 12:21:16,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:21:16,me-blog-1,0.01%,14.05%
2024-11-06 12:21:29,minikube,14.25%,60.29%
2024-11-06 12:21:29,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:21:29,me-blog-1,0.01%,14.05%
2024-11-06 12:21:42,minikube,11.59%,60.22%
2024-11-06 12:21:42,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:21:42,me-blog-1,0.01%,14.05%
2024-11-06 12:21:54,minikube,11.72%,60.17%
2024-11-06 12:21:54,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:21:54,me-blog-1,0.00%,14.05%
2024-11-06 12:22:06,minikube,14.96%,60.23%
2024-11-06 12:22:06,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:22:06,me-blog-1,0.00%,14.05%
2024-11-06 12:22:17,minikube,11.35%,60.22%
2024-11-06 12:22:17,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:22:17,me-blog-1,0.00%,14.05%
2024-11-06 12:22:29,minikube,10.06%,60.20%
2024-11-06 12:22:29,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:22:29,me-blog-1,0.00%,14.05%
2024-11-06 12:22:40,minikube,16.42%,60.23%
2024-11-06 12:22:40,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:22:40,me-blog-1,0.01%,14.05%
2024-11-06 12:22:52,minikube,10.97%,60.21%
2024-11-06 12:22:52,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:22:52,me-blog-1,0.01%,14.05%
2024-11-06 12:23:04,minikube,18.03%,60.18%
2024-11-06 12:23:04,me-load_balancer-1,0.20%,0.82%
2024-11-06 12:23:04,me-blog-1,0.00%,14.05%
2024-11-06 12:23:17,minikube,9.31%,60.15%
2024-11-06 12:23:17,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:23:17,me-blog-1,0.00%,14.05%
2024-11-06 12:23:30,minikube,17.72%,60.20%
2024-11-06 12:23:30,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:23:30,me-blog-1,0.00%,14.05%
2024-11-06 12:23:42,minikube,8.89%,60.23%
2024-11-06 12:23:42,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:23:42,me-blog-1,0.00%,14.05%
