Timestamp,Name,CPU,Memory
2024-11-06 12:11:59,minikube,15.91%,60.21%
2024-11-06 12:11:59,me-load_balancer-1,0.12%,0.85%
2024-11-06 12:11:59,me-blog-1,0.00%,14.05%
2024-11-06 12:12:11,minikube,10.21%,60.18%
2024-11-06 12:12:11,me-load_balancer-1,0.20%,0.84%
2024-11-06 12:12:11,me-blog-1,0.00%,14.05%
2024-11-06 12:12:23,minikube,10.40%,60.21%
2024-11-06 12:12:23,me-load_balancer-1,0.12%,0.84%
2024-11-06 12:12:23,me-blog-1,0.00%,14.05%
2024-11-06 12:12:35,minikube,13.02%,60.23%
2024-11-06 12:12:35,me-load_balancer-1,0.16%,0.84%
2024-11-06 12:12:35,me-blog-1,0.00%,14.05%
2024-11-06 12:12:46,minikube,11.46%,60.21%
2024-11-06 12:12:46,me-load_balancer-1,0.14%,0.84%
2024-11-06 12:12:46,me-blog-1,0.00%,14.05%
2024-11-06 12:12:58,minikube,11.31%,60.13%
2024-11-06 12:12:58,me-load_balancer-1,0.16%,0.84%
2024-11-06 12:12:58,me-blog-1,0.00%,14.05%
2024-11-06 12:13:10,minikube,9.32%,60.21%
2024-11-06 12:13:10,me-load_balancer-1,0.16%,0.84%
2024-11-06 12:13:10,me-blog-1,0.01%,14.05%
2024-11-06 12:13:22,minikube,8.87%,60.20%
2024-11-06 12:13:22,me-load_balancer-1,0.13%,0.84%
2024-11-06 12:13:22,me-blog-1,0.01%,14.05%
2024-11-06 12:13:34,minikube,10.88%,60.18%
2024-11-06 12:13:34,me-load_balancer-1,0.13%,0.84%
2024-11-06 12:13:34,me-blog-1,0.00%,14.05%
2024-11-06 12:13:45,minikube,12.67%,60.18%
2024-11-06 12:13:45,me-load_balancer-1,0.13%,0.84%
2024-11-06 12:13:45,me-blog-1,0.00%,14.05%
2024-11-06 12:13:57,minikube,8.58%,60.16%
2024-11-06 12:13:57,me-load_balancer-1,0.14%,0.84%
2024-11-06 12:13:57,me-blog-1,0.00%,14.05%
2024-11-06 12:14:09,minikube,15.98%,60.23%
2024-11-06 12:14:09,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:14:09,me-blog-1,0.00%,14.05%
2024-11-06 12:14:21,minikube,10.98%,60.26%
2024-11-06 12:14:21,me-load_balancer-1,0.23%,0.83%
2024-11-06 12:14:21,me-blog-1,0.01%,14.05%
2024-11-06 12:14:32,minikube,10.27%,60.22%
2024-11-06 12:14:32,me-load_balancer-1,0.15%,0.83%
2024-11-06 12:14:32,me-blog-1,0.00%,14.05%
2024-11-06 12:14:44,minikube,12.50%,60.24%
2024-11-06 12:14:44,me-load_balancer-1,0.24%,0.83%
2024-11-06 12:14:44,me-blog-1,0.00%,14.05%
2024-11-06 12:14:56,minikube,8.01%,60.21%
2024-11-06 12:14:56,me-load_balancer-1,0.12%,0.83%
2024-11-06 12:14:56,me-blog-1,0.02%,14.05%
2024-11-06 12:15:08,minikube,10.83%,60.21%
2024-11-06 12:15:08,me-load_balancer-1,0.16%,0.83%
2024-11-06 12:15:08,me-blog-1,0.00%,14.05%
2024-11-06 12:15:20,minikube,16.33%,60.28%
2024-11-06 12:15:20,me-load_balancer-1,0.10%,0.83%
2024-11-06 12:15:20,me-blog-1,0.00%,14.05%
2024-11-06 12:15:31,minikube,12.49%,60.30%
2024-11-06 12:15:31,me-load_balancer-1,0.25%,0.83%
2024-11-06 12:15:31,me-blog-1,0.00%,14.05%
2024-11-06 12:15:43,minikube,12.70%,60.24%
2024-11-06 12:15:43,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:15:43,me-blog-1,0.01%,14.05%
2024-11-06 12:15:55,minikube,17.73%,60.20%
2024-11-06 12:15:55,me-load_balancer-1,0.19%,0.83%
2024-11-06 12:15:55,me-blog-1,0.00%,14.05%
2024-11-06 12:16:07,minikube,11.32%,60.24%
2024-11-06 12:16:07,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:16:07,me-blog-1,0.01%,14.05%
2024-11-06 12:16:18,minikube,13.06%,60.24%
2024-11-06 12:16:18,me-load_balancer-1,0.19%,0.83%
2024-11-06 12:16:18,me-blog-1,0.00%,14.05%
2024-11-06 12:16:30,minikube,15.13%,60.14%
2024-11-06 12:16:30,me-load_balancer-1,0.20%,0.83%
2024-11-06 12:16:30,me-blog-1,0.00%,14.05%
2024-11-06 12:16:42,minikube,11.85%,60.14%
2024-11-06 12:16:42,me-load_balancer-1,0.14%,0.83%
2024-11-06 12:16:42,me-blog-1,0.00%,14.05%
2024-11-06 12:16:54,minikube,11.96%,60.13%
2024-11-06 12:16:54,me-load_balancer-1,0.20%,0.83%
2024-11-06 12:16:54,me-blog-1,0.00%,14.05%
