Timestamp,Name,CPU,Memory
2024-11-06 12:25:51,minikube,11.46%,60.22%
2024-11-06 12:25:51,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:25:51,me-blog-1,0.00%,14.05%
2024-11-06 12:26:03,minikube,14.59%,60.22%
2024-11-06 12:26:03,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:26:03,me-blog-1,1.23%,31.04%
2024-11-06 12:26:16,minikube,18.90%,60.31%
2024-11-06 12:26:16,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:26:16,me-blog-1,0.47%,34.38%
2024-11-06 12:26:28,minikube,10.58%,60.28%
2024-11-06 12:26:28,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:26:28,me-blog-1,0.97%,75.60%
2024-11-06 12:26:41,minikube,12.78%,60.28%
2024-11-06 12:26:41,me-load_balancer-1,0.20%,0.82%
2024-11-06 12:26:41,me-blog-1,1.44%,77.93%
2024-11-06 12:26:53,minikube,9.70%,60.20%
2024-11-06 12:26:53,me-load_balancer-1,0.10%,0.82%
2024-11-06 12:26:53,me-blog-1,0.54%,76.35%
2024-11-06 12:27:06,minikube,10.83%,60.34%
2024-11-06 12:27:06,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:27:06,me-blog-1,0.47%,82.12%
2024-11-06 12:27:19,me-blog-2,0.00%,61.27%
2024-11-06 12:27:19,minikube,9.04%,60.35%
2024-11-06 12:27:19,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:27:19,me-blog-1,0.33%,88.11%
2024-11-06 12:27:31,me-blog-2,0.00%,61.27%
2024-11-06 12:27:31,minikube,11.41%,60.33%
2024-11-06 12:27:31,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:27:31,me-blog-1,0.95%,92.32%
2024-11-06 12:27:44,me-blog-2,0.00%,61.27%
2024-11-06 12:27:44,minikube,8.45%,60.31%
2024-11-06 12:27:44,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:27:44,me-blog-1,1.02%,98.10%
2024-11-06 12:27:56,me-blog-2,0.00%,61.27%
2024-11-06 12:27:56,minikube,11.77%,60.24%
2024-11-06 12:27:56,me-load_balancer-1,0.18%,0.82%
2024-11-06 12:27:56,me-blog-1,1.08%,98.70%
2024-11-06 12:28:08,me-blog-2,0.00%,61.27%
2024-11-06 12:28:08,minikube,8.28%,60.26%
2024-11-06 12:28:08,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:28:08,me-blog-1,0.98%,21.95%
2024-11-06 12:28:21,me-blog-2,0.00%,61.27%
2024-11-06 12:28:21,minikube,16.91%,60.23%
2024-11-06 12:28:21,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:28:21,me-blog-1,0.99%,66.64%
2024-11-06 12:28:33,me-blog-2,0.01%,61.27%
2024-11-06 12:28:33,minikube,10.38%,60.17%
2024-11-06 12:28:33,me-load_balancer-1,0.14%,0.82%
