Timestamp,Name,CPU,Memory
2024-11-06 12:26:53,minikube,10.49%,60.20%
2024-11-06 12:26:53,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:26:53,me-blog-1,1.19%,76.09%
2024-11-06 12:27:05,minikube,43.84%,60.26%
2024-11-06 12:27:05,me-load_balancer-1,0.34%,0.82%
2024-11-06 12:27:05,me-blog-1,0.76%,80.95%
2024-11-06 12:27:17,me-blog-2,0.01%,61.27%
2024-11-06 12:27:17,minikube,9.70%,60.36%
2024-11-06 12:27:17,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:27:17,me-blog-1,1.66%,86.84%
2024-11-06 12:27:29,me-blog-2,0.00%,61.27%
2024-11-06 12:27:29,minikube,9.76%,60.34%
2024-11-06 12:27:29,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:27:29,me-blog-1,0.69%,90.27%
2024-11-06 12:27:41,me-blog-2,0.00%,61.27%
2024-11-06 12:27:41,minikube,32.05%,60.33%
2024-11-06 12:27:41,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:27:41,me-blog-1,0.59%,97.93%
2024-11-06 12:27:53,me-blog-2,0.00%,61.27%
2024-11-06 12:27:53,minikube,9.06%,60.24%
2024-11-06 12:27:53,me-load_balancer-1,0.25%,0.82%
2024-11-06 12:27:53,me-blog-1,1.31%,98.66%
2024-11-06 12:28:05,me-blog-2,0.00%,61.27%
2024-11-06 12:28:05,minikube,6.96%,60.27%
2024-11-06 12:28:05,me-load_balancer-1,0.10%,0.82%
2024-11-06 12:28:05,me-blog-1,0.79%,12.24%
2024-11-06 12:28:18,me-blog-2,0.01%,61.27%
2024-11-06 12:28:18,minikube,11.30%,60.27%
2024-11-06 12:28:18,me-load_balancer-1,0.26%,0.82%
2024-11-06 12:28:18,me-blog-1,0.98%,62.33%
2024-11-06 12:28:30,me-blog-2,0.00%,61.27%
2024-11-06 12:28:30,minikube,20.51%,60.27%
2024-11-06 12:28:30,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:28:30,me-blog-1,0.99%,79.67%
2024-11-06 12:28:43,me-blog-2,0.01%,61.27%
2024-11-06 12:28:43,minikube,12.29%,60.21%
2024-11-06 12:28:43,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:28:43,me-blog-1,1.17%,76.13%
2024-11-06 12:28:55,me-blog-3,0.95%,43.76%
2024-11-06 12:28:55,me-blog-2,0.01%,61.27%
2024-11-06 12:28:55,minikube,17.80%,60.14%
2024-11-06 12:28:55,me-load_balancer-1,0.14%,0.83%
2024-11-06 12:28:55,me-blog-1,1.50%,81.39%
2024-11-06 12:29:07,me-blog-3,0.00%,61.85%
2024-11-06 12:29:07,me-blog-2,0.00%,61.27%
2024-11-06 12:29:07,minikube,10.46%,60.04%
2024-11-06 12:29:07,me-load_balancer-1,0.23%,0.83%
2024-11-06 12:29:07,me-blog-1,1.05%,87.86%
2024-11-06 12:29:19,me-blog-3,0.00%,61.85%
2024-11-06 12:29:19,me-blog-2,0.01%,61.27%
2024-11-06 12:29:19,minikube,7.90%,59.95%
2024-11-06 12:29:19,me-load_balancer-1,0.11%,0.83%
2024-11-06 12:29:19,me-blog-1,1.24%,90.92%
2024-11-06 12:29:32,me-blog-3,0.00%,61.87%
2024-11-06 12:29:32,me-blog-2,0.00%,61.27%
2024-11-06 12:29:32,minikube,12.06%,59.85%
2024-11-06 12:29:32,me-load_balancer-1,0.17%,0.83%
2024-11-06 12:29:32,me-blog-1,0.49%,97.95%
2024-11-06 12:29:44,me-blog-3,0.00%,61.87%
2024-11-06 12:29:44,me-blog-2,0.00%,61.27%
2024-11-06 12:29:44,minikube,12.49%,59.92%
2024-11-06 12:29:44,me-load_balancer-1,0.15%,0.83%
2024-11-06 12:29:44,me-blog-1,1.00%,98.45%
2024-11-06 12:29:56,me-blog-3,0.00%,61.87%
2024-11-06 12:29:56,me-blog-2,0.00%,61.27%
2024-11-06 12:29:56,minikube,18.00%,59.83%
2024-11-06 12:29:56,me-load_balancer-1,0.21%,0.83%
2024-11-06 12:29:56,me-blog-1,0.93%,98.20%
2024-11-06 12:30:08,me-blog-3,0.00%,61.87%
2024-11-06 12:30:08,me-blog-2,0.00%,61.27%
2024-11-06 12:30:08,minikube,10.17%,59.90%
2024-11-06 12:30:08,me-load_balancer-1,0.10%,0.83%
2024-11-06 12:30:08,me-blog-1,1.00%,98.72%
2024-11-06 12:30:21,me-blog-4,0.57%,61.49%
2024-11-06 12:30:21,me-blog-3,0.00%,61.88%
2024-11-06 12:30:21,me-blog-2,0.00%,61.27%
2024-11-06 12:30:21,minikube,14.97%,59.87%
2024-11-06 12:30:21,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:30:21,me-blog-1,0.43%,14.05%
2024-11-06 12:30:34,me-blog-4,0.00%,61.49%
2024-11-06 12:30:34,me-blog-3,0.00%,61.88%
2024-11-06 12:30:34,me-blog-2,0.00%,61.26%
2024-11-06 12:30:34,minikube,9.89%,59.86%
2024-11-06 12:30:34,me-load_balancer-1,0.18%,0.82%
2024-11-06 12:30:34,me-blog-1,0.01%,14.04%
2024-11-06 12:30:46,minikube,9.89%,59.85%
2024-11-06 12:30:46,me-load_balancer-1,0.31%,0.82%
2024-11-06 12:30:46,me-blog-1,0.00%,14.45%
2024-11-06 12:30:58,minikube,8.15%,59.85%
2024-11-06 12:30:58,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:30:58,me-blog-1,0.00%,14.45%
2024-11-06 12:31:11,minikube,14.61%,59.91%
2024-11-06 12:31:11,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:31:11,me-blog-1,0.01%,14.45%
2024-11-06 12:31:23,minikube,10.71%,59.89%
2024-11-06 12:31:23,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:31:23,me-blog-1,0.01%,14.45%
2024-11-06 12:31:35,minikube,15.53%,59.86%
2024-11-06 12:31:35,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:31:35,me-blog-1,0.00%,14.45%
2024-11-06 12:31:47,minikube,10.13%,59.89%
2024-11-06 12:31:47,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:31:47,me-blog-1,0.01%,14.45%
2024-11-06 12:32:00,minikube,12.37%,59.81%
