Timestamp,Name,CPU,Memory
2024-11-06 12:25:02,minikube,15.14%,60.24%
2024-11-06 12:25:02,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:25:02,me-blog-1,0.01%,14.05%
2024-11-06 12:25:14,minikube,10.23%,60.34%
2024-11-06 12:25:14,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:25:14,me-blog-1,0.00%,14.05%
2024-11-06 12:25:26,minikube,16.68%,60.27%
2024-11-06 12:25:26,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:25:26,me-blog-1,0.00%,14.05%
2024-11-06 12:25:37,minikube,8.84%,60.25%
2024-11-06 12:25:37,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:25:37,me-blog-1,0.00%,14.05%
2024-11-06 12:25:49,minikube,9.49%,60.23%
2024-11-06 12:25:49,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:25:49,me-blog-1,0.00%,14.05%
2024-11-06 12:26:01,minikube,19.12%,60.22%
2024-11-06 12:26:01,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:26:01,me-blog-1,0.89%,29.67%
2024-11-06 12:26:14,minikube,11.54%,60.32%
2024-11-06 12:26:14,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:26:14,me-blog-1,1.23%,35.98%
2024-11-06 12:26:25,minikube,10.25%,60.27%
2024-11-06 12:26:25,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:26:25,me-blog-1,0.97%,71.14%
2024-11-06 12:26:38,minikube,9.28%,60.25%
2024-11-06 12:26:38,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:26:38,me-blog-1,0.99%,81.84%
2024-11-06 12:26:50,minikube,21.08%,60.22%
2024-11-06 12:26:50,me-load_balancer-1,0.28%,0.82%
2024-11-06 12:26:50,me-blog-1,0.64%,75.51%
2024-11-06 12:27:03,minikube,13.67%,60.22%
2024-11-06 12:27:03,me-load_balancer-1,0.29%,0.82%
2024-11-06 12:27:03,me-blog-1,1.00%,80.22%
2024-11-06 12:27:16,me-blog-2,0.00%,61.27%
2024-11-06 12:27:16,minikube,8.04%,60.38%
2024-11-06 12:27:16,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:27:16,me-blog-1,0.90%,85.36%
2024-11-06 12:27:28,me-blog-2,0.00%,61.27%
2024-11-06 12:27:28,minikube,9.76%,60.34%
2024-11-06 12:27:28,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:27:28,me-blog-1,0.69%,90.27%
2024-11-06 12:27:41,me-blog-2,0.00%,61.27%
2024-11-06 12:27:41,minikube,32.05%,60.33%
2024-11-06 12:27:41,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:27:41,me-blog-1,0.59%,97.93%
2024-11-06 12:27:53,me-blog-2,0.00%,61.27%
2024-11-06 12:27:53,minikube,9.06%,60.24%
2024-11-06 12:27:53,me-load_balancer-1,0.25%,0.82%
2024-11-06 12:27:53,me-blog-1,1.31%,98.66%
2024-11-06 12:28:05,me-blog-2,0.00%,61.27%
2024-11-06 12:28:05,minikube,6.96%,60.27%
