Timestamp,Name,CPU,Memory
2024-11-06 12:24:12,minikube,11.11%,60.26%
2024-11-06 12:24:12,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:24:12,me-blog-1,0.00%,14.05%
2024-11-06 12:24:24,minikube,8.15%,60.22%
2024-11-06 12:24:24,me-load_balancer-1,0.18%,0.82%
2024-11-06 12:24:24,me-blog-1,0.01%,14.05%
2024-11-06 12:24:35,minikube,15.71%,60.22%
2024-11-06 12:24:35,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:24:35,me-blog-1,0.00%,14.05%
2024-11-06 12:24:47,minikube,12.03%,60.24%
2024-11-06 12:24:47,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:24:47,me-blog-1,0.01%,14.05%
2024-11-06 12:24:59,minikube,12.59%,60.25%
2024-11-06 12:24:59,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:24:59,me-blog-1,0.01%,14.05%
2024-11-06 12:25:10,minikube,15.69%,60.37%
2024-11-06 12:25:10,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:25:10,me-blog-1,0.01%,14.05%
