Timestamp,Name,CPU,Memory
2024-11-06 12:20:14,minikube,13.37%,60.27%
2024-11-06 12:20:14,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:20:14,me-blog-1,0.00%,14.05%
2024-11-06 12:20:26,minikube,11.31%,60.20%
2024-11-06 12:20:26,me-load_balancer-1,0.18%,0.82%
2024-11-06 12:20:26,me-blog-1,0.00%,14.05%
2024-11-06 12:20:38,minikube,15.24%,60.16%
2024-11-06 12:20:38,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:20:38,me-blog-1,0.00%,14.05%
2024-11-06 12:20:50,minikube,15.36%,60.21%
2024-11-06 12:20:50,me-load_balancer-1,0.17%,0.82%
2024-11-06 12:20:50,me-blog-1,0.00%,14.05%
2024-11-06 12:21:02,minikube,10.73%,60.25%
2024-11-06 12:21:02,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:21:02,me-blog-1,0.00%,14.05%
2024-11-06 12:21:13,minikube,13.18%,60.24%
2024-11-06 12:21:13,me-load_balancer-1,0.24%,0.82%
2024-11-06 12:21:13,me-blog-1,0.01%,14.05%
2024-11-06 12:21:25,minikube,17.15%,60.20%
2024-11-06 12:21:25,me-load_balancer-1,0.10%,0.82%
2024-11-06 12:21:25,me-blog-1,0.01%,14.05%
2024-11-06 12:21:36,minikube,13.21%,60.20%
2024-11-06 12:21:36,me-load_balancer-1,0.26%,0.82%
2024-11-06 12:21:36,me-blog-1,0.01%,14.05%
2024-11-06 12:21:49,minikube,13.31%,60.21%
2024-11-06 12:21:49,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:21:49,me-blog-1,0.00%,14.05%
2024-11-06 12:22:02,minikube,15.24%,60.14%
2024-11-06 12:22:02,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:22:02,me-blog-1,0.00%,14.05%
2024-11-06 12:22:14,minikube,16.07%,60.24%
2024-11-06 12:22:14,me-load_balancer-1,0.20%,0.82%
2024-11-06 12:22:14,me-blog-1,0.00%,14.05%
2024-11-06 12:22:27,minikube,10.08%,60.22%
2024-11-06 12:22:27,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:22:27,me-blog-1,0.00%,14.05%
2024-11-06 12:22:39,minikube,16.42%,60.23%
2024-11-06 12:22:39,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:22:39,me-blog-1,0.01%,14.05%
2024-11-06 12:22:52,minikube,10.97%,60.21%
2024-11-06 12:22:52,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:22:52,me-blog-1,0.01%,14.05%
2024-11-06 12:23:04,minikube,18.03%,60.18%
2024-11-06 12:23:04,me-load_balancer-1,0.20%,0.82%
2024-11-06 12:23:04,me-blog-1,0.00%,14.05%
2024-11-06 12:23:17,minikube,9.31%,60.15%
2024-11-06 12:23:17,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:23:17,me-blog-1,0.00%,14.05%
2024-11-06 12:23:30,minikube,17.72%,60.20%
2024-11-06 12:23:30,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:23:30,me-blog-1,0.00%,14.05%
2024-11-06 12:23:42,minikube,8.89%,60.23%
2024-11-06 12:23:42,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:23:42,me-blog-1,0.00%,14.05%
2024-11-06 12:23:55,minikube,16.71%,60.15%
2024-11-06 12:23:55,me-load_balancer-1,0.20%,0.82%
2024-11-06 12:23:55,me-blog-1,0.00%,14.05%
2024-11-06 12:24:07,minikube,11.56%,60.20%
2024-11-06 12:24:07,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:24:07,me-blog-1,0.00%,14.05%
2024-11-06 12:24:20,minikube,16.78%,60.28%
2024-11-06 12:24:20,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:24:20,me-blog-1,0.00%,14.05%
2024-11-06 12:24:32,minikube,13.60%,60.21%
2024-11-06 12:24:32,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:24:32,me-blog-1,0.01%,14.05%
2024-11-06 12:24:45,minikube,13.63%,60.24%
2024-11-06 12:24:45,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:24:45,me-blog-1,0.00%,14.05%
2024-11-06 12:24:58,minikube,12.59%,60.25%
2024-11-06 12:24:58,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:24:58,me-blog-1,0.01%,14.05%
2024-11-06 12:25:10,minikube,15.69%,60.37%
2024-11-06 12:25:10,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:25:10,me-blog-1,0.01%,14.05%
