Timestamp,Name,CPU,Memory
2024-11-06 12:27:52,me-blog-2,0.00%,61.27%
2024-11-06 12:27:52,minikube,11.63%,60.25%
2024-11-06 12:27:52,me-load_balancer-1,0.26%,0.82%
2024-11-06 12:27:52,me-blog-1,1.62%,98.64%
2024-11-06 12:28:04,me-blog-2,0.00%,61.27%
2024-11-06 12:28:04,minikube,14.59%,60.27%
2024-11-06 12:28:04,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:28:04,me-blog-1,1.15%,15.16%
2024-11-06 12:28:17,me-blog-2,0.01%,61.27%
2024-11-06 12:28:17,minikube,9.68%,60.28%
2024-11-06 12:28:17,me-load_balancer-1,0.27%,0.82%
2024-11-06 12:28:17,me-blog-1,1.00%,58.24%
2024-11-06 12:28:29,me-blog-2,0.00%,61.27%
2024-11-06 12:28:29,minikube,10.84%,60.23%
2024-11-06 12:28:29,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:28:29,me-blog-1,0.98%,79.56%
2024-11-06 12:28:42,me-blog-2,0.00%,61.27%
2024-11-06 12:28:42,minikube,11.81%,60.22%
2024-11-06 12:28:42,me-load_balancer-1,0.20%,0.82%
2024-11-06 12:28:42,me-blog-1,0.66%,75.80%
2024-11-06 12:28:54,me-blog-3,0.96%,25.47%
2024-11-06 12:28:54,me-blog-2,0.01%,61.27%
2024-11-06 12:28:54,minikube,11.54%,60.16%
2024-11-06 12:28:54,me-load_balancer-1,0.12%,0.83%
2024-11-06 12:28:54,me-blog-1,1.01%,80.74%
2024-11-06 12:29:06,me-blog-3,0.00%,61.85%
2024-11-06 12:29:06,me-blog-2,0.00%,61.27%
2024-11-06 12:29:06,minikube,11.79%,60.05%
2024-11-06 12:29:06,me-load_balancer-1,0.16%,0.83%
2024-11-06 12:29:06,me-blog-1,0.96%,87.77%
2024-11-06 12:29:18,me-blog-3,0.01%,61.85%
2024-11-06 12:29:18,me-blog-2,0.00%,61.27%
2024-11-06 12:29:18,minikube,11.35%,59.95%
2024-11-06 12:29:18,me-load_balancer-1,0.13%,0.83%
2024-11-06 12:29:18,me-blog-1,0.95%,90.81%
2024-11-06 12:29:31,me-blog-3,0.01%,61.87%
2024-11-06 12:29:31,me-blog-2,0.00%,61.27%
2024-11-06 12:29:31,minikube,23.93%,59.92%
2024-11-06 12:29:31,me-load_balancer-1,0.27%,0.83%
2024-11-06 12:29:31,me-blog-1,1.47%,97.71%
2024-11-06 12:29:43,me-blog-3,0.00%,61.87%
2024-11-06 12:29:43,me-blog-2,0.00%,61.27%
2024-11-06 12:29:43,minikube,10.55%,59.93%
2024-11-06 12:29:43,me-load_balancer-1,0.12%,0.83%
2024-11-06 12:29:43,me-blog-1,1.25%,98.45%
2024-11-06 12:29:55,me-blog-3,0.01%,61.87%
2024-11-06 12:29:55,me-blog-2,0.01%,61.27%
2024-11-06 12:29:55,minikube,12.80%,59.84%
2024-11-06 12:29:55,me-load_balancer-1,0.20%,0.83%
2024-11-06 12:29:55,me-blog-1,1.13%,97.92%
2024-11-06 12:30:07,me-blog-3,0.01%,61.87%
2024-11-06 12:30:07,me-blog-2,0.01%,61.27%
2024-11-06 12:30:07,minikube,9.47%,59.89%
